Ordered,Unordered
He listens to podcasts.,He listens podcasts to
We watch movies.,We watch movies
They study political science.,They political science study
She does laundry.,does She laundry
He goes jogging.,He jogging goes
We read magazines.,read magazines We
They attend meetings.,meetings attend They
She writes articles.,She writes articles
He practices football.,football practices He
We go birdwatching.,go We birdwatching
They watch wildlife.,They wildlife watch
She studies literature.,literature studies She
He takes photographs.,He takes photographs
We play tennis.,tennis play We
They attend weddings.,weddings attend They
She practices boxing.,practices She boxing
He listens to music.,He music listens to
We go swimming.,We swimming go
They watch sunsets.,watch They sunsets
She studies philosophy.,studies She philosophy
He plays basketball.,plays basketball He
We do yoga.,yoga We do
They attend seminars.,attend They seminars
She takes care.,care takes She
He practices swimming.,He practices swimming
We listen to podcasts.,to We podcasts listen
They go hiking.,They hiking go
She writes poetry.,writes She poetry
He studies biology.,studies biology He
We go running.,running We go
They practice photography.,They practice photography
She takes selfies.,She takes selfies
He watches movies.,He watches movies
We attend concerts.,concerts attend We
They study psychology.,study They psychology
She practices calligraphy.,practices calligraphy She
He reads comics.,comics reads He
We go sightseeing.,go We sightseeing
They watch plays.,watch They plays
She studies anthropology.,She anthropology studies
He plays drums.,plays drums He
We go sailing.,We sailing go
They practice martial arts.,martial arts They practice
She takes care.,She care takes
He listens to audiobooks.,audiobooks listens He to
We do household chores.,We do household chores
They attend classes.,They classes attend
She writes blogs.,writes blogs She
He practices tennis.,tennis He practices
We go skiing.,We skiing go
They watch TV.,watch They TV
She studies environmental science.,environmental science studies She
He takes walks.,He walks takes
We enjoy sunsets.,sunsets enjoy We
They play soccer.,They play soccer
She does gardening.,She gardening does
He listens to radio.,He listens to radio
We go horseback riding.,We riding go horseback
They study engineering.,They engineering study
She practices archery.,She practices archery
He watches sports.,watches sports He
We go camping.,camping go We
They attend church.,church attend They
She writes scripts.,She scripts writes
He studies economics.,studies economics He
We take walks.,take We walks
They practice cooking.,cooking practice They
She studies sociology.,studies She sociology
He watches birds.,He birds watches
We go swimming.,swimming We go
They attend parties.,parties They attend
She reads books.,reads She books
He practices golf.,practices golf He
We go biking.,go We biking
They watch the ocean.,They ocean the watch
She studies art.,art studies She
He plays guitar.,plays He guitar
We do housework.,We housework do
They attend games.,games attend They
She writes novels.,novels writes She
He studies medicine.,medicine He studies
We go rock climbing.,go climbing We rock
They watch planes.,watch planes They
She practices yoga.,yoga She practices
He listens to news.,He news listens to
We attend lectures.,We attend lectures
They study literature.,literature They study
She takes walks.,She takes walks
He watches nature.,He watches nature
We go to museums.,We museums go to
They practice meditation.,meditation practice They
She studies law.,law She studies
He plays baseball.,baseball plays He
We go ice skating.,We go ice skating
They watch wildlife.,They watch wildlife
She writes essays.,essays writes She
He studies geology.,He studies geology
We do exercises.,exercises We do
They attend concerts.,They attend concerts
She practices singing.,singing She practices
He listens to music.,He listens to music
We go canoeing.,canoeing We go
They watch theater.,theater They watch
She studies religion.,She religion studies
He takes naps.,naps He takes
We enjoy sunrises.,sunrises We enjoy
They play hockey.,hockey They play
She does knitting.,knitting does She
He watches TV.,watches TV He
We go on picnics.,on go We picnics
They attend meetings.,They attend meetings
She writes poems.,She writes poems
He practices martial arts.,He practices arts martial
We go snowboarding.,snowboarding go We
They watch sunsets.,watch They sunsets
She studies philosophy.,philosophy studies She
He plays soccer.,plays soccer He
We go jogging.,jogging go We
They practice art.,art They practice
She takes care.,takes She care
He listens to podcasts.,podcasts listens to He
We go on road trips.,road trips on go We
They watch birds.,They birds watch
She studies astronomy.,She studies astronomy
He plays chess.,He chess plays
We go skating.,go We skating
They attend parties.,attend They parties
She writes stories.,stories She writes
He studies chemistry.,He studies chemistry
We go on hikes.,hikes We go on
They watch movies.,watch movies They
She practices pottery.,practices pottery She
He listens to music.,music He to listens
We go on walks.,We walks on go
They attend classes.,classes They attend
She studies computer science.,She studies science computer
He takes photos.,He takes photos
We go to concerts.,go to We concerts
They practice writing.,writing practice They
She takes care.,She takes care
He watches soccer.,He watches soccer
We go to zoos.,zoos We go to
They watch baseball.,watch They baseball
She studies physics.,She physics studies
He plays basketball.,plays basketball He
We go on vacations.,We vacations on go
They attend conferences.,attend They conferences
She writes journals.,She writes journals
He practices volleyball.,practices volleyball He
We go skiing.,We go skiing
They watch TV shows.,TV They shows watch
She studies geology.,geology She studies
He takes vacations.,He vacations takes
We go to festivals.,festivals go to We
They practice drawing.,They drawing practice
She takes care.,care She takes
He listens to podcasts.,to He listens podcasts
We go on cruises.,cruises on go We
They watch sports.,They sports watch
She studies botany.,She studies botany
He plays football.,plays football He
We go to amusement parks.,We parks amusement go to
They attend weddings.,attend weddings They
She writes articles.,She writes articles
He practices hockey.,He hockey practices
We go to the beach.,the to beach We go
They watch the sunset.,They the sunset watch
She studies zoology.,zoology studies She
He listens to audiobooks.,audiobooks He to listens
We go to the park.,park We the go to
They practice painting.,They practice painting
She takes care.,She care takes
He watches movies.,movies He watches
We go on bike rides.,rides We go on bike
They study anthropology.,study They anthropology
She practices sculpting.,practices sculpting She
He reads newspapers.,He newspapers reads
We go to the gym.,go gym the We to
They watch the stars.,stars They the watch
She studies archaeology.,archaeology She studies
He plays rugby.,rugby plays He
We go to theme parks.,go theme to parks We
They practice writing.,practice writing They
She takes care.,care takes She
He listens to music.,listens He music to
They attend games.,games They attend
She practices dancing.,She dancing practices
He watches wildlife.,watches He wildlife
We go fishing.,We fishing go
They study history.,study They history
She writes blogs.,blogs She writes
He plays drums.,He plays drums
We go camping.,camping We go
They watch the clouds.,They the clouds watch
She studies psychology.,psychology She studies
He listens to podcasts.,podcasts to listens He
We go on walks.,We walks on go
They practice photography.,photography practice They
She takes care.,care She takes
He watches birds.,birds watches He
We go to the movies.,go the to movies We
They attend seminars.,attend seminars They
She writes scripts.,scripts She writes
He studies economics.,He economics studies
We go on trips.,trips go We on
They watch the river.,watch river the They
She practices cooking.,practices She cooking
He listens to the radio.,to listens radio the He
We go on vacations.,on We go vacations
They watch basketball.,basketball watch They
She studies sociology.,sociology She studies
He plays tennis.,tennis plays He
We go to the gym.,We go to the gym
They attend lectures.,lectures attend They
She writes books.,She writes books
He practices skiing.,skiing practices He
We go on hikes.,go hikes We on
They watch the sunset.,sunset the They watch
She studies education.,education studies She
He listens to audiobooks.,audiobooks listens to He
We go to the beach.,We to go the beach
They practice karate.,practice They karate
She takes care.,takes She care
He watches TV shows.,watches TV shows He
We go on road trips.,road go trips on We
They study linguistics.,linguistics study They
She writes songs.,She songs writes
He plays football.,plays football He
We go on bike rides.,bike on We rides go
They watch the sky.,They sky the watch
She studies ecology.,She studies ecology
He listens to music.,listens to He music
We go on runs.,go on We runs
They attend seminars.,attend They seminars
She practices gymnastics.,gymnastics practices She
He watches the sea.,the He watches sea
We go hiking.,go We hiking
They study philosophy.,philosophy They study
She writes poems.,She poems writes
He plays basketball.,He plays basketball
We go to the zoo.,the We to zoo go
They watch the stars.,the stars They watch
She studies chemistry.,studies chemistry She
He listens to podcasts.,listens to He podcasts
We go to the park.,to We the park go
They practice calligraphy.,calligraphy They practice
She takes care.,takes care She
He watches movies.,watches He movies
We go on picnics.,We on go picnics
They study literature.,literature They study
She writes stories.,stories writes She
He practices swimming.,He practices swimming
We go to the gym.,go to gym the We
They watch the mountains.,mountains watch They the
She studies mathematics.,She studies mathematics
He listens to music.,listens music to He
We go on walks.,go walks on We
They attend classes.,attend classes They
She practices archery.,practices archery She
He watches the sunset.,He watches sunset the
We go on adventures.,go We on adventures
They study biology.,biology They study
She writes articles.,She writes articles
He plays baseball.,plays He baseball
We go to the pool.,pool the to go We
They watch the ocean.,the watch They ocean
She studies physics.,She studies physics
He listens to the news.,the He to listens news
We go on vacations.,go on vacations We
They practice painting.,practice They painting
She takes care.,takes She care
He watches TV.,He watches TV
We go on hikes.,on go We hikes
They attend meetings.,attend They meetings
She studies geography.,She studies geography
He plays soccer.,He soccer plays
We go on trips.,trips on go We
They watch the beach.,They the watch beach
She writes journals.,writes journals She
He practices golf.,golf He practices
We go to museums.,go We to museums
They watch planes.,watch planes They
She studies anthropology.,anthropology studies She
He listens to podcasts.,to He podcasts listens
We go on road trips.,go We on trips road
They practice writing.,writing They practice
She takes care.,She takes care
He watches the river.,watches the He river
We go to the movies.,the We go to movies
They study archaeology.,archaeology study They
She writes blogs.,She writes blogs
He plays drums.,plays He drums
We go on camping.,camping We on go
They watch the mountains.,the watch They mountains
She studies history.,history studies She
He listens to the radio.,to the listens He radio
We go on trips.,on We go trips
They watch basketball.,watch They basketball
They run marathons.,They run marathons
She paints portraits.,She paints portraits
He watches football.,watches He football
We read books.,read books We
They attend concerts.,They attend concerts
She practices yoga.,practices She yoga
He listens to music.,listens music to He
We eat breakfast.,breakfast eat We
They watch the birds.,birds watch They the
She studies physics.,studies physics She
He plays guitar.,plays guitar He
We go shopping.,We go shopping
They attend parties.,They attend parties
She writes novels.,She novels writes
He practices basketball.,basketball He practices
We watch TV.,TV We watch
They study chemistry.,chemistry study They
She takes photos.,She takes photos
He watches soccer.,watches soccer He
We go to the gym.,go We the gym to
They attend events.,attend events They
She writes poetry.,poetry She writes
He plays piano.,piano He plays
We go swimming.,We go swimming
They watch the city.,city They watch the
She studies astronomy.,studies astronomy She
He listens to the radio.,the listens He radio to
We play games.,games We play
They practice meditation.,practice They meditation
She takes walks.,She takes walks
He watches movies.,movies He watches
We go on trips.,trips We on go
They study engineering.,engineering They study
She writes essays.,essays She writes
He plays video games.,games He plays video
We go to the park.,go the to We park
They watch the trees.,They trees watch the
She studies literature.,She studies literature
He listens to podcasts.,listens He to podcasts
We cook dinner.,dinner cook We
They attend lectures.,They lectures attend
She practices running.,She running practices
He watches the stars.,the stars watches He
We do yoga.,We do yoga
They study psychology.,They psychology study
She writes letters.,letters She writes
He plays hockey.,plays hockey He
We go for a drive.,go a for We drive
They watch the animals.,watch the They animals
She studies philosophy.,studies She philosophy
He listens to music.,music listens to He
We take a nap.,take nap We a
They practice martial arts.,practice They martial arts
She takes care.,takes She care
He watches TV shows.,watches shows TV He
We go to the lake.,to go We lake the
They study sociology.,study They sociology
She writes stories.,She writes stories
He plays tennis.,He tennis plays
We go on a picnic.,go on a picnic We
They watch the sunset.,sunset the watch They
She studies biology.,biology studies She
He listens to audiobooks.,to audiobooks He listens
We go to the beach.,to the go beach We
They practice dancing.,practice They dancing
She takes care.,takes She care
He watches the sea.,watches the sea He
We go for a walk.,go a walk We for
They study mathematics.,mathematics study They
She writes blogs.,blogs She writes
He plays basketball.,basketball plays He
We go for a run.,run for We a go
They watch the sky.,the They sky watch
She studies economics.,economics studies She
He listens to music.,listens to He music
We have a party.,have a party We
They attend workshops.,They workshops attend
She practices painting.,She painting practices
He watches the mountains.,He the watches mountains
We go on a hike.,We go on hike a
They study linguistics.,They linguistics study
She writes articles.,articles She writes
He plays soccer.,plays He soccer
We go to the movies.,the go to We movies
They watch the ocean.,watch the ocean They
She studies physics.,studies She physics
He listens to the news.,listens to the news He
We go on a vacation.,vacation on go a We
They practice cooking.,They practice cooking
She takes care.,She care takes
He watches TV.,He TV watches
We go on a bike ride.,on go bike a ride We
They study geography.,They geography study
She writes novels.,writes She novels
He plays golf.,plays He golf
We go to the zoo.,the We zoo to go
They watch the planes.,watch the They planes
She studies anthropology.,anthropology She studies
He listens to podcasts.,He podcasts listens to
We go on a road trip.,We road on trip a go
They practice photography.,photography They practice
She takes care.,takes She care
He watches the river.,watches river He the
We go for a hike.,a for We go hike
They attend classes.,classes They attend
She studies history.,studies She history
He plays baseball.,He plays baseball
We go on a trip.,a on go We trip
They watch the beach.,They the beach watch
She writes journals.,She journals writes
He practices skiing.,He practices skiing
We go to museums.,museums We to go
I love cats.,love cats I
I read books.,read books I
I watch TV.,watch TV I
I eat pizza.,eat I pizza
I study art.,study art I
I play games.,I play games
I go shopping.,I go shopping
I take walks.,take walks I
I listen to music.,to I listen music
I write poetry.,write I poetry
I go running.,go I running
I practice yoga.,practice yoga I
I watch movies.,movies I watch
I cook dinner.,dinner I cook
I go swimming.,I go swimming
I attend events.,events I attend
I play guitar.,play I guitar
I watch soccer.,I watch soccer
I study history.,history I study
I write stories.,stories write I
I go hiking.,I go hiking
I take photos.,take I photos
I listen to podcasts.,listen I to podcasts
I watch the sunset.,watch the sunset I
I study psychology.,I psychology study
I play basketball.,basketball I play
I go camping.,camping go I
I attend concerts.,I attend concerts
I watch the birds.,I birds watch the
I study philosophy.,study philosophy I
